n,Series,Term,E_exp,E_Langer,DeltaE,delta_exp
11,5sns,3S1,44043.21,44043.26,0.01,3.378
12,5sns,3S1,44456.38,44456.45,-0.07,3.377
13,5sns,3S1,44141.68,44141.56,0.12,3.3749
14,5sns,3S1,44960.22,44960.25,-0.03,3.3745
15,5sns,3S1,45120.41,45120.38,0.03,3.3734
16,5sns,3S1,,,,
17,5sns,3S1,,,,
18,5sns,3S1,,,,
19,5sns,3S1,,,,
20,5sns,3S1,,,,
21,5sns,3S1,,,,
22,5sns,3S1,,,,
23,5sns,3S1,,,,
24,5sns,3S1,,,,
25,5sns,3S1,,,,
26,5sns,3S1,,,,
27,5sns,3S1,,,,
28,5sns,3S1,,,,
29,5sns,3S1,,,,
30,5sns,3S1,,,,
31,5sns,3S1,,,,
32,5sns,3S1,,,,
33,5sns,3S1,,,,
34,5sns,3S1,,,,
35,5sns,3S1,,,,
36,5sns,3S1,,,,
37,5sns,3S1,,,,
38,5sns,3S1,,,,
39,5sns,3S1,,,,
40,5sns,3S1,,,,
41,5sns,3S1,,,,
42,5sns,3S1,,,,
43,5sns,3S1,,,,
44,5sns,3S1,,,,
45,5sns,3S1,,,,
