n,Series,Term,E_exp,delta_exp
12,5snd,3D1,44854.02,1.9114
13,5snd,3D1,45028.55,1.9801
14,5snd,3D1,45159.6,2.0821
15,5snd,3D1,45260.84,2.2151
16,5snd,3D1,,
17,5snd,3D1,,
18,5snd,3D1,,
19,5snd,3D1,,
20,5snd,3D1,,
21,5snd,3D1,,
22,5snd,3D1,,
23,5snd,3D1,,
24,5snd,3D1,,
25,5snd,3D1,,
26,5snd,3D1,,
27,5snd,3D1,,
28,5snd,3D1,,
29,5snd,3D1,,
30,5snd,3D1,,
31,5snd,3D1,,
32,5snd,3D1,,
12,5snd,3D2,44860.06,1.883
13,5snd,3D2,,
14,5snd,3D2,,
15,5snd,3D2,,
16,5snd,3D2,,
17,5snd,3D2,,
18,5snd,3D2,,
19,5snd,3D2,,
20,5snd,3D2,,
21,5snd,3D2,,
22,5snd,3D2,,
23,5snd,3D2,,
24,5snd,3D2,,
25,5snd,3D2,,
26,5snd,3D2,,
27,5snd,3D2,,
28,5snd,3D2,,
29,5snd,3D2,,
30,5snd,3D2,,
31,5snd,3D2,,
32,5snd,3D2,,
33,5snd,3D2,,
34,5snd,3D2,,
35,5snd,3D2,,
36,5snd,3D2,,
37,5snd,3D2,,
38,5snd,3D2,,
39,5snd,3D2,,
40,5snd,3D2,,
12,5snd,3D3,44865.22,1.8586
13,5snd,3D3,,
14,5snd,3D3,,
15,5snd,3D3,,
16,5snd,3D3,,
17,5snd,3D3,,
18,5snd,3D3,,
19,5snd,3D3,,
20,5snd,3D3,,
21,5snd,3D3,,
22,5snd,3D3,,
23,5snd,3D3,,
24,5snd,3D3,,
25,5snd,3D3,,
26,5snd,3D3,,
27,5snd,3D3,,
28,5snd,3D3,,
29,5snd,3D3,,
30,5snd,3D3,,
31,5snd,3D3,,
32,5snd,3D3,,
33,5snd,3D3,,
34,5snd,3D3,,
35,5snd,3D3,,
36,5snd,3D3,,
37,5snd,3D3,,
38,5snd,3D3,,
39,5snd,3D3,,
40,5snd,3D3,,
41,5snd,3D3,,
42,5snd,3D3,,
43,5snd,3D3,,
44,5snd,3D3,,
45,5snd,3D3,,
