,n,Series,Term,E_obs,E_obs_stat,E_obs_sys,E_calc,Delta_E,delta_obs,delta_calc
0,10,5sns,1S0,43512.1658,0.001,0,43512.1659,-5.9999999999999995e-05,3.26612,3.26612
1,11,5sns,1S0,44097.1224,0.001,0,44097.1221,0.00032,3.2669900000000003,3.2669900000000003
2,12,5sns,1S0,44492.8348,0.001,0,44492.8349,-0.00013000000000000002,3.26847,3.2684599999999997
3,13,5sns,1S0,44773.6707,0.001,0,44773.6714,-0.00073,3.2675400000000003,3.2675400000000003
4,14,5sns,1S0,44979.454,0.001,0,44979.4546,-0.00062,3.26783,3.26782
5,15,5sns,1S0,45134.9242,0.001,0,45134.923,0.00122,3.268,3.26801
6,16,5sns,1S0,45255.2295,0.001,0,45255.2296,-9e-05,3.26815,3.26815
7,17,5sns,1S0,45350.2296,0.001,0,45350.2286,0.0010400000000000001,3.26825,3.2682599999999997
8,18,5sns,1S0,45426.5505,0.001,0,45426.5499,0.00054,3.2683400000000002,3.2683400000000002
9,19,5sns,1S0,45488.7868,0.001,0,45488.7869,-0.00011999999999999999,3.26842,3.26842
10,20,5sns,1S0,45540.2024,0.001,0,45540.2031,-0.0007700000000000001,3.2684900000000003,3.26848
11,21,5sns,1S0,45583.1688,0.001,0,45583.1689,-7e-05,3.2685299999999997,3.2685299999999997
12,22,5sns,1S0,45619.4391,0.001,0,45619.4393,-0.00021,3.26857,3.26857
13,23,5sns,1S0,45650.3365,0.001,0,45650.3365,-4e-05,3.2686,3.2686
14,24,5sns,1S0,45676.8704,0.001,0,45676.8717,-0.00128,3.2686900000000003,3.26863
15,26,5sns,1S0,45719.8235,0.001,0,45719.8236,-0.0001,3.2686900000000003,3.2686900000000003
16,28,5sns,1S0,45752.7832,0.001,0,45752.7832,-2.9999999999999997e-05,3.26873,3.26872
17,30,5sns,1S0,45778.6257,0.001,0,45778.6257,-2.9999999999999997e-05,3.26876,3.26876
18,32,5sns,1S0,45799.262,0.001,0,45799.2619,0.00011,3.26877,3.26878
19,34,5sns,1S0,45816.0028,0.001,0,45816.0018,0.00101,3.26867,3.2688
20,36,5sns,1S0,45829.77,0.001,0,45829.7679,0.0020800000000000003,3.2684900000000003,3.2688200000000003
21,37,5sns,1S0,45835.7511,0.001,0,45835.7512,-8e-05,3.26884,3.26883
22,38,5sns,1S0,45841.2259,0.001,0,45841.2251,0.0008,3.26868,3.26883
23,39,5sns,1S0,45846.2435,0.001,0,45846.2459,-0.0024,3.26934,3.26884
24,40,5sns,1S0,45850.86,0.001,0,45850.8622,-0.00224,3.26935,3.26884
25,41,5sns,1S0,45855.1132,0.001,0,45855.1164,-0.00323,3.2696400000000003,3.26885
26,42,5sns,1S0,45859.0421,0.001,0,45859.0454,-0.0032700000000000003,3.26972,3.26885
27,43,5sns,1S0,45862.6792,0.001,0,45862.6814,-0.00221,3.2694900000000002,3.2688599999999997
28,44,5sns,1S0,45866.0496,0.001,0,45866.0529,-0.0033399999999999997,3.26989,3.2688599999999997
29,45,5sns,1S0,45869.182,0.001,0,45869.185,-0.00301,3.26986,3.26887
30,46,5sns,1S0,45872.0971,0.001,0,45872.0998,-0.00268,3.26982,3.26887
31,47,5sns,1S0,45874.8129,0.001,0,45874.8169,-0.00398,3.2703900000000004,3.26887
32,48,5sns,1S0,45877.3506,0.001,0,45877.3538,-0.00318,3.27018,3.26888
