Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Ref
5snp,8,3P0,5s8p,41712.05,0.05,88,awe_1979
5snp,8,3P1,5s8p,41719.71,0.05,88,awe_1979
5snp,8,3P2,5s8p,41735.98,0.05,88,awe_1979
5snp,9,3P0,5s9p,42985.86,0.07,88,awe_1979
5snp,9,3P1,5s9p,42990.26,0.07,88,awe_1979
5snp,9,3P2,5s9p,42999.79,0.07,88,awe_1979
5snp,10,3P0,5s10p,43758.65,0.07,88,awe_1979
5snp,10,3P1,5s10p,43761.47,0.07,88,awe_1979
5snp,10,3P2,5s10p,43767.58,0.07,88,awe_1979
5snp,11,3P0,5s11p,44262.7,0.07,88,awe_1979
5snp,11,3P1,5s11p,44264.52,0.07,88,awe_1979
5snp,11,3P2,5s11p,44268.72,0.07,88,awe_1979
5snp,12,3P0,5s12p,44609.51,0.04,88,awe_1979
5snp,12,3P1,5s12p,44610.85,0.04,88,awe_1979
5snp,12,3P2,5s12p,44613.78,0.04,88,awe_1979
5snp,13,3P0,5s13p,44858.33,0.03,88,awe_1979
5snp,13,3P1,5s13p,44859.32,0.03,88,awe_1979
5snp,13,3P2,5s13p,44861.46,0.03,88,awe_1979
5snp,14,3P0,5s14p,45043.18,0.02,88,awe_1979
5snp,14,3P1,5s14p,45043.89,0.02,88,awe_1979
5snp,14,3P2,5s14p,45045.54,0.02,88,awe_1979
5snp,15,3P0,5s15p,45183.93,0.02,88,awe_1979
5snp,15,3P1,5s15p,45184.54,0.02,88,awe_1979
5snp,15,3P2,5s15p,45185.79,0.02,88,awe_1979
5snp,16,3P1,5s16p,45294.22,0.02,88,awe_1979
5snp,16,3P2,5s16p,45295.21,0.02,88,awe_1979
5snp,17,3P1,5s17p,45381.46,0.03,88,awe_1979
5snp,17,3P2,5s17p,45382.26,0.03,88,awe_1979
5snp,18,3P1,5s18p,45451.87,0.01,88,awe_1979
5snp,18,3P2,5s18p,45452.53,0.01,88,awe_1979
5snp,19,3P1,5s19p,45509.65,0.02,88,awe_1979
5snp,19,3P2,5s19p,45510.2,0.02,88,awe_1979
5snp,20,3P1,5s20p,45557.62,0.02,88,awe_1979
5snp,20,3P2,5s20p,45558.0,0.02,88,awe_1979
5snp,21,3P1,5s21p,45597.81,0.02,88,awe_1979
5snp,21,3P2,5s21p,45598.17,0.02,88,awe_1979
5snp,22,3P1,5s22p,45631.86,0.02,88,awe_1979
5snp,22,3P2,5s22p,45632.15,0.02,88,awe_1979
5snp,23,3P2,5s23p,45661.22,0.03,88,awe_1979
5snp,24,3P2,5s24p,45686.25,0.02,88,awe_1979
5snp,25,3P2,5s25p,45707.96,0.02,88,awe_1979
5snp,26,3P2,5s26p,45726.94,0.02,88,awe_1979
5snp,27,3P2,5s27p,45743.6,0.02,88,awe_1979
5snp,28,3P2,5s28p,45758.33,0.02,88,awe_1979
5snp,29,3P2,5s29p,45771.41,0.02,88,awe_1979
5snp,30,3P2,5s30p,45782.99,0.02,88,awe_1979
5snp,31,3P2,5s31p,45793.45,0.02,88,awe_1979
5snp,32,3P2,5s32p,45802.83,0.02,88,awe_1979
5snp,33,3P2,5s33p,45811.27,0.02,88,awe_1979
5snp,34,3P2,5s34p,45818.91,0.02,88,awe_1979
5snp,35,3P2,5s35p,45825.83,0.02,88,awe_1979
5snp,36,3P2,5s36p,45832.16,0.02,88,awe_1979
5snp,37,3P2,5s37p,45837.93,0.02,88,awe_1979
5snp,38,3P2,5s38p,45843.22,0.02,88,awe_1979
5snp,39,3P2,5s39p,45848.05,0.02,88,awe_1979
5snp,40,3P2,5s40p,45852.56,0.02,88,awe_1979
5snp,41,3P2,5s41p,45856.68,0.02,88,awe_1979
5snp,42,3P2,5s42p,45860.54,0.02,88,awe_1979
5snp,43,3P2,5s43p,45864.04,0.02,88,awe_1979
5snp,44,3P2,5s44p,45867.26,0.02,88,awe_1979
5snp,45,3P2,5s45p,45870.3,0.03,88,awe_1979
5snp,46,3P2,5s46p,45873.13,0.03,88,awe_1979
5snp,47,3P2,5s47p,45875.77,0.03,88,awe_1979
5snp,48,3P2,5s48p,45878.26,0.03,88,awe_1979
5snp,49,3P2,5s49p,45880.56,0.02,88,awe_1979
5snp,50,3P2,5s50p,45882.75,0.02,88,awe_1979
5snp,51,3P2,5s51p,45884.82,0.02,88,awe_1979
5snp,52,3P2,5s52p,45886.71,0.02,88,awe_1979
5snp,53,3P2,5s53p,45888.43,0.03,88,awe_1979
5snp,54,3P2,5s54p,45890.18,0.02,88,awe_1979
5snp,55,3P2,5s55p,45891.8,0.03,88,awe_1979
5snp,56,3P2,5s56p,45893.28,0.02,88,awe_1979
5snp,57,3P2,5s57p,45894.7,0.02,88,awe_1979
5snp,58,3P2,5s58p,45896.01,0.02,88,awe_1979
5snp,59,3P2,5s59p,45897.3,0.02,88,awe_1979
5snp,60,3P2,5s60p,45898.5,0.02,88,awe_1979
