,Series,n,Term,E_exp,E_exp_unc,Isotope,Ref
0,5sns,11,3S1,44043.27,0.15,88,bls_1982
1,5sns,12,3S1,44456.38,0.15,88,bls_1982
2,5sns,13,3S1,44747.68,0.15,88,bls_1982
3,5sns,14,3S1,44960.22,0.15,88,bls_1982
4,5sns,15,3S1,45120.41,0.15,88,bls_1982
5,5sns,16,3S1,45243.88,0.15,88,bls_1982
6,5sns,17,3S1,45341.28,0.15,88,bls_1982
7,5sns,18,3S1,45419.29,0.15,88,bls_1982
8,5sns,19,3S1,45482.85,0.15,88,bls_1982
9,5sns,20,3S1,45535.26,0.15,88,bls_1982
10,5sns,21,3S1,45579.11,0.15,88,bls_1982
11,5sns,22,3S1,45615.88,0.15,88,bls_1982
12,5sns,23,3S1,45647.23,0.15,88,bls_1982
13,5sns,24,3S1,45674.29,0.15,88,bls_1982
14,5sns,25,3S1,45697.74,0.15,88,bls_1982
15,5sns,26,3S1,45718.04,0.15,88,bls_1982
16,5sns,27,3S1,45735.67,0.15,88,bls_1982
17,5sns,28,3S1,45751.32,0.15,88,bls_1982
18,5sns,29,3S1,45765.12,0.15,88,bls_1982
19,5sns,30,3S1,45777.4,0.15,88,bls_1982
20,5sns,31,3S1,45788.41,0.15,88,bls_1982
21,5sns,32,3S1,45798.22,0.15,88,bls_1982
22,5sns,33,3S1,45807.34,0.15,88,bls_1982
23,5sns,34,3S1,45815.26,0.15,88,bls_1982
24,5sns,35,3S1,45822.59,0.15,88,bls_1982
25,5sns,36,3S1,45829.13,0.15,88,bls_1982
26,5sns,37,3S1,45835.15,0.15,88,bls_1982
27,5sns,38,3S1,45840.69,0.15,88,bls_1982
28,5sns,39,3S1,45845.75,0.15,88,bls_1982
29,5sns,40,3S1,45850.41,0.15,88,bls_1982
30,5sns,41,3S1,45854.74,0.15,88,bls_1982
31,5sns,42,3S1,45858.65,0.15,88,bls_1982
32,5sns,43,3S1,45862.48,0.15,88,bls_1982
33,5sns,44,3S1,45865.77,0.15,88,bls_1982
34,5sns,45,3S1,45868.83,0.15,88,bls_1982
0,5snd,12,3D1,44854.02,0.15,88,bls_1982
1,5snd,13,3D1,45028.55,0.15,88,bls_1982
2,5snd,14,3D1,45159.6,0.15,88,bls_1982
3,5snd,15,3D1,45260.84,0.15,88,bls_1982
4,5snd,16,3D1,45341.36,0.15,88,bls_1982
5,5snd,17,3D1,45414.43,0.15,88,bls_1982
6,5snd,18,3D1,45475.35,0.15,88,bls_1982
7,5snd,19,3D1,45527.1,0.15,88,bls_1982
8,5snd,20,3D1,45570.97,0.15,88,bls_1982
9,5snd,21,3D1,45608.37,0.15,88,bls_1982
10,5snd,22,3D1,45640.43,0.15,88,bls_1982
11,5snd,23,3D1,45668.11,0.15,88,bls_1982
12,5snd,24,3D1,45692.08,0.15,88,bls_1982
13,5snd,25,3D1,45712.94,0.15,88,bls_1982
14,5snd,26,3D1,45731.28,0.15,88,bls_1982
15,5snd,27,3D1,45747.27,0.15,88,bls_1982
16,5snd,28,3D1,45761.6,0.15,88,bls_1982
17,5snd,29,3D1,45774.25,0.15,88,bls_1982
18,5snd,30,3D1,45785.48,0.15,88,bls_1982
19,5snd,31,3D1,45795.62,0.15,88,bls_1982
20,5snd,32,3D1,45804.8,0.15,88,bls_1982
21,5snd,12,3D2,44860.06,0.15,88,bls_1982
22,5snd,13,3D2,45036.95,0.15,88,bls_1982
23,5snd,14,3D2,45171.49,0.15,88,bls_1982
24,5snd,15,3D2,45276.65,0.15,88,bls_1982
25,5snd,16,3D2,45350.35,0.15,88,bls_1982
26,5snd,17,3D2,45420.84,0.15,88,bls_1982
27,5snd,18,3D2,45479.88,0.15,88,bls_1982
28,5snd,19,3D2,45530.18,0.15,88,bls_1982
29,5snd,20,3D2,45573.28,0.15,88,bls_1982
30,5snd,21,3D2,45610.07,0.15,88,bls_1982
31,5snd,22,3D2,45641.68,0.15,88,bls_1982
32,5snd,23,3D2,45669.06,0.15,88,bls_1982
33,5snd,24,3D2,45692.9,0.15,88,bls_1982
34,5snd,25,3D2,45713.5,0.15,88,bls_1982
35,5snd,26,3D2,45731.74,0.15,88,bls_1982
36,5snd,27,3D2,45747.57,0.15,88,bls_1982
37,5snd,28,3D2,45761.84,0.15,88,bls_1982
38,5snd,29,3D2,45774.39,0.15,88,bls_1982
39,5snd,30,3D2,45785.63,0.15,88,bls_1982
40,5snd,31,3D2,45795.69,0.15,88,bls_1982
41,5snd,32,3D2,45805.04,0.15,88,bls_1982
42,5snd,33,3D2,45813.2,0.15,88,bls_1982
43,5snd,34,3D2,45820.4,0.15,88,bls_1982
44,5snd,35,3D2,45827.35,0.15,88,bls_1982
45,5snd,36,3D2,45883.55,0.15,88,bls_1982
46,5snd,37,3D2,45839.34,0.15,88,bls_1982
47,5snd,38,3D2,45844.43,0.15,88,bls_1982
48,5snd,39,3D2,45849.23,0.15,88,bls_1982
49,5snd,40,3D2,45853.58,0.15,88,bls_1982
50,5snd,12,3D3,44865.22,0.15,88,bls_1982
51,5snd,13,3D3,45043.79,0.15,88,bls_1982
52,5snd,14,3D3,45180.44,0.15,88,bls_1982
53,5snd,15,3D3,45286.53,0.15,88,bls_1982
54,5snd,16,3D3,45370.76,0.15,88,bls_1982
55,5snd,17,3D3,45439.08,0.15,88,bls_1982
56,5snd,18,3D3,45495.02,0.15,88,bls_1982
57,5snd,19,3D3,45542.23,0.15,88,bls_1982
58,5snd,20,3D3,45582.38,0.15,88,bls_1982
59,5snd,21,3D3,45616.8,0.15,88,bls_1982
60,5snd,22,3D3,45647.54,0.15,88,bls_1982
61,5snd,23,3D3,45673.1,0.15,88,bls_1982
62,5snd,24,3D3,45695.94,0.15,88,bls_1982
63,5snd,25,3D3,45715.8,0.15,88,bls_1982
64,5snd,26,3D3,45733.69,0.15,88,bls_1982
65,5snd,27,3D3,45749.16,0.15,88,bls_1982
66,5snd,28,3D3,45763.12,0.15,88,bls_1982
67,5snd,29,3D3,45775.6,0.15,88,bls_1982
68,5snd,30,3D3,45786.61,0.15,88,bls_1982
69,5snd,31,3D3,45796.52,0.15,88,bls_1982
70,5snd,32,3D3,45805.72,0.15,88,bls_1982
71,5snd,33,3D3,45813.67,0.15,88,bls_1982
72,5snd,34,3D3,45821.05,0.15,88,bls_1982
73,5snd,35,3D3,45827.87,0.15,88,bls_1982
74,5snd,36,3D3,45833.95,0.15,88,bls_1982
75,5snd,37,3D3,45839.77,0.15,88,bls_1982
76,5snd,38,3D3,45844.77,0.15,88,bls_1982
77,5snd,39,3D3,45849.56,0.15,88,bls_1982
78,5snd,40,3D3,45853.91,0.15,88,bls_1982
79,5snd,41,3D3,45857.89,0.15,88,bls_1982
80,5snd,42,3D3,45861.73,0.15,88,bls_1982
81,5snd,43,3D3,45865.17,0.15,88,bls_1982
82,5snd,44,3D3,45868.25,0.15,88,bls_1982
83,5snd,45,3D3,45871.32,0.15,88,bls_1982
