Series,n,Term,E_exp,E_exp_unc,Isotope,Ref
5sns,10,1S0,43512.1658,0.0010006922855944561,88,blt_1982
5sns,11,1S0,44097.1224,0.0010006922855944561,88,blt_1982
5sns,12,1S0,44492.8348,0.0010006922855944561,88,blt_1982
5sns,13,1S0,44773.6707,0.0010006922855944561,88,blt_1982
5sns,14,1S0,44979.454000000005,0.0010006922855944561,88,blt_1982
5sns,15,1S0,45134.9242,0.0010006922855944561,88,blt_1982
5sns,16,1S0,45255.2295,0.0010006922855944561,88,blt_1982
5sns,17,1S0,45350.2296,0.0010006922855944561,88,blt_1982
5sns,18,1S0,45426.5505,0.0010006922855944561,88,blt_1982
5sns,19,1S0,45488.7868,0.0010006922855944561,88,blt_1982
5sns,20,1S0,45540.2024,0.0010006922855944561,88,blt_1982
5sns,21,1S0,45583.1688,0.0010006922855944561,88,blt_1982
5sns,22,1S0,45619.4391,0.0010006922855944561,88,blt_1982
5sns,23,1S0,45650.3365,0.0010006922855944561,88,blt_1982
5sns,24,1S0,45676.8704,0.0010006922855944561,88,blt_1982
5sns,26,1S0,45719.8235,0.0010006922855944561,88,blt_1982
5sns,28,1S0,45752.7832,0.0010006922855944561,88,blt_1982
5sns,30,1S0,45778.6257,0.0010006922855944561,88,blt_1982
5sns,32,1S0,45799.262,0.0010006922855944561,88,blt_1982
5sns,34,1S0,45816.0028,0.0010006922855944561,88,blt_1982
5sns,36,1S0,45829.77,0.0010006922855944561,88,blt_1982
5sns,37,1S0,45835.7511,0.0010006922855944561,88,blt_1982
5sns,38,1S0,45841.2259,0.0010006922855944561,88,blt_1982
5sns,39,1S0,45846.2435,0.0010006922855944561,88,blt_1982
5sns,40,1S0,45850.86,0.0010006922855944561,88,blt_1982
5sns,41,1S0,45855.1132,0.0010006922855944561,88,blt_1982
5sns,42,1S0,45859.0421,0.0010006922855944561,88,blt_1982
5sns,43,1S0,45862.6792,0.0010006922855944561,88,blt_1982
5sns,44,1S0,45866.0496,0.0010006922855944561,88,blt_1982
5sns,45,1S0,45869.182,0.0010006922855944561,88,blt_1982
5sns,46,1S0,45872.0971,0.0010006922855944561,88,blt_1982
5sns,47,1S0,45874.8129,0.0010006922855944561,88,blt_1982
5sns,48,1S0,45877.3506,0.0010006922855944561,88,blt_1982
5sns,49,1S0,45879.7212,0.0010006922855944561,88,blt_1982
5sns,50,1S0,45881.9438,0.0010006922855944561,88,blt_1982
5sns,51,1S0,45884.0266,0.0010006922855944561,88,blt_1982
5sns,52,1S0,45885.9825,0.0010006922855944561,88,blt_1982
5sns,53,1S0,45887.8231,0.0010006922855944561,88,blt_1982
5sns,54,1S0,45889.5561,0.0010006922855944561,88,blt_1982
5sns,55,1S0,45891.1875,0.0010006922855944561,88,blt_1982
5sns,56,1S0,45892.7282,0.0010006922855944561,88,blt_1982
5sns,57,1S0,45894.1817,0.0010006922855944561,88,blt_1982
5sns,58,1S0,45895.5596,0.0010006922855944561,88,blt_1982
5sns,59,1S0,45896.8624,0.0010006922855944561,88,blt_1982
5sns,60,1S0,45898.0981,0.0010006922855944561,88,blt_1982
5sns,61,1S0,45899.2707,0.0010006922855944561,88,blt_1982
5sns,62,1S0,45900.3822,0.0010006922855944561,88,blt_1982
5sns,63,1S0,45901.4398,0.0010006922855944561,88,blt_1982
5sns,64,1S0,45902.4433,0.0010006922855944561,88,blt_1982
5sns,65,1S0,45903.3987,0.0010006922855944561,88,blt_1982
5sns,66,1S0,45904.3093,0.0010006922855944561,88,blt_1982
5sns,67,1S0,45905.1769,0.0010006922855944561,88,blt_1982
5sns,68,1S0,45906.0078,0.0010006922855944561,88,blt_1982
5sns,69,1S0,45906.7987,0.0010006922855944561,88,blt_1982
5sns,70,1S0,45907.556,0.0010006922855944561,88,blt_1982
5sns,75,1S0,45910.8718,0.0010006922855944561,88,blt_1982
5sns,80,1S0,45913.5602,0.0010006922855944561,88,blt_1982
5snd,10,1D2,44239.4549,0.0010006922855944561,88,blt_1982
5snd,11,1D2,44578.689000000006,0.0010006922855944561,88,blt_1982
5snd,12,1D2,44829.6648,0.0010006922855944561,88,blt_1982
5snd,13,1D2,45012.0249,0.0010006922855944561,88,blt_1982
5snd,14,1D2,45153.2785,0.0010006922855944561,88,blt_1982
5snd,15,1D2,45263.6196,0.0010006922855944561,88,blt_1982
5snd,16,1D2,45362.1272,0.0010006922855944561,88,blt_1982
5snd,17,1D2,45433.2717,0.0010006922855944561,88,blt_1982
5snd,18,1D2,45492.6101,0.0010006922855944561,88,blt_1982
5snd,19,1D2,45542.2955,0.0010006922855944561,88,blt_1982
5snd,20,1D2,45584.1831,0.0010006922855944561,88,blt_1982
5snd,21,1D2,45619.7872,0.0010006922855944561,88,blt_1982
5snd,22,1D2,45650.2617,0.0010006922855944561,88,blt_1982
5snd,23,1D2,45676.5325,0.0010006922855944561,88,blt_1982
5snd,24,1D2,45699.3308,0.0010006922855944561,88,blt_1982
5snd,25,1D2,45719.2336,0.0010006922855944561,88,blt_1982
5snd,26,1D2,45736.7165,0.0010006922855944561,88,blt_1982
5snd,28,1D2,45765.8106,0.0010006922855944561,88,blt_1982
5snd,29,1D2,45777.9907,0.0010006922855944561,88,blt_1982
5snd,30,1D2,45788.8895,0.0010006922855944561,88,blt_1982
5snd,31,1D2,45798.6753,0.0010006922855944561,88,blt_1982
5snd,32,1D2,45807.4942,0.0010006922855944561,88,blt_1982
5snd,33,1D2,45815.4703,0.0010006922855944561,88,blt_1982
5snd,34,1D2,45822.7079,0.0010006922855944561,88,blt_1982
5snd,35,1D2,45829.2918,0.0010006922855944561,88,blt_1982
5snd,36,1D2,45835.3098,0.0010006922855944561,88,blt_1982
5snd,37,1D2,45840.8107,0.0010006922855944561,88,blt_1982
5snd,38,1D2,45845.8526,0.0010006922855944561,88,blt_1982
5snd,39,1D2,45850.4882,0.0010006922855944561,88,blt_1982
5snd,40,1D2,45854.7641,0.0010006922855944561,88,blt_1982
5snd,42,1D2,45862.3725,0.0010006922855944561,88,blt_1982
5snd,43,1D2,45865.761,0.0010006922855944561,88,blt_1982
5snd,44,1D2,45868.9075,0.0010006922855944561,88,blt_1982
5snd,45,1D2,45871.8381,0.0010006922855944561,88,blt_1982
5snd,46,1D2,45874.569,0.0010006922855944561,88,blt_1982
5snd,47,1D2,45877.1177,0.0010006922855944561,88,blt_1982
