Series,n,Term,E_obs,E_calc,DeltaE,delta_obs,delta_calc,New
5sns,10,1S0,43512.1658,43512.1659,-0.00006,3.26612,3.26612,TRUE
5sns,11,1S0,44097.1224,44097.1221,0.00032,3.26699,3.26699,TRUE
5sns,12,1S0,44492.8348,44492.8349,-0.00013,3.26847,3.26846,TRUE
5sns,13,1S0,44773.6707,44773.6714,-0.00073,3.26754,3.26754,TRUE
5sns,14,1S0,44979.454,44979.4546,-0.00062,3.26783,3.26782,TRUE
5sns,15,1S0,45134.9242,45134.923,0.00122,3.268,3.26801,TRUE
5sns,16,1S0,45255.2295,45255.2296,-0.00009,3.26815,3.26815,TRUE
5sns,17,1S0,45350.2296,45350.2286,0.00104,3.26825,3.26826,TRUE
5sns,18,1S0,45426.5505,45426.5499,0.00054,3.26834,3.26834,TRUE
5sns,19,1S0,45488.7868,45488.7869,-0.00012,3.26842,3.26842,TRUE
5sns,20,1S0,45540.2024,45540.2031,-0.00077,3.26849,3.26848,TRUE
5sns,21,1S0,45583.1688,45583.1689,-0.00007,3.26853,3.26853,TRUE
5sns,22,1S0,45619.4391,45619.4393,-0.00021,3.26857,3.26857,TRUE
5sns,23,1S0,45650.3365,45650.3365,-0.00004,3.2686,3.2686,TRUE
5sns,24,1S0,45676.8704,45676.8717,-0.00128,3.26869,3.26863,TRUE
5sns,26,1S0,45719.8235,45719.8236,-0.0001,3.26869,3.26869,TRUE
5sns,28,1S0,45752.7832,45752.7832,-0.00003,3.26873,3.26872,TRUE
5sns,30,1S0,45778.6257,45778.6257,-0.00003,3.26876,3.26876,TRUE
5sns,32,1S0,45799.262,45799.2619,0.00011,3.26877,3.26878,TRUE
5sns,34,1S0,45816.0028,45816.0018,0.00101,3.26867,3.2688,TRUE
5sns,36,1S0,45829.77,45829.7679,0.00208,3.26849,3.26882,TRUE
5sns,37,1S0,45835.7511,45835.7512,-0.00008,3.26884,3.26883,TRUE
5sns,38,1S0,45841.2259,45841.2251,0.0008,3.26868,3.26883,TRUE
5sns,39,1S0,45846.2435,45846.2459,-0.0024,3.26934,3.26884,TRUE
5sns,40,1S0,45850.86,45850.8622,-0.00224,3.26935,3.26884,TRUE
5sns,41,1S0,45855.1132,45855.1164,-0.00323,3.26964,3.26885,TRUE
5sns,42,1S0,45859.0421,45859.0454,-0.00327,3.26972,3.26885,TRUE
5sns,43,1S0,45862.6792,45862.6814,-0.00221,3.26949,3.26886,TRUE
5sns,44,1S0,45866.0496,45866.0529,-0.00334,3.26989,3.26886,TRUE
5sns,45,1S0,45869.182,45869.185,-0.00301,3.26986,3.26887,TRUE
5sns,46,1S0,45872.0971,45872.0998,-0.00268,3.26982,3.26887,TRUE
5sns,47,1S0,45874.8129,45874.8169,-0.00398,3.27039,3.26887,TRUE
5sns,48,1S0,45877.3506,45877.3538,-0.00318,3.27018,3.26888,TRUE
5sns,49,1S0,45879.7212,45879.7261,-0.00493,3.27103,3.26888,TRUE
5sns,50,1S0,45881.9438,45881.9478,-0.004,3.27074,3.26888,TRUE
5sns,51,1S0,45884.0266,45884.0313,-0.0047,3.27121,3.26888,TRUE
5sns,52,1S0,45885.9825,45885.9878,-0.00535,3.27171,3.26889,TRUE
5sns,53,1S0,45887.8231,45887.8276,-0.00447,3.27139,3.26889,TRUE
5sns,54,1S0,45889.5561,45889.5596,-0.00351,3.27098,3.26889,TRUE
5sns,55,1S0,45891.1875,45891.1921,-0.0046,3.2718,3.26889,TRUE
5sns,56,1S0,45892.7282,45892.7326,-0.00444,3.27186,3.2689,TRUE
5sns,57,1S0,45894.1817,45894.188,-0.00625,3.27332,3.2689,TRUE
5sns,58,1S0,45895.5596,45895.5643,-0.00466,3.27238,3.2689,TRUE
5sns,59,1S0,45896.8624,45896.8671,-0.00469,3.2726,3.2689,TRUE
5sns,60,1S0,45898.0981,45898.1017,-0.00361,3.27191,3.2689,TRUE
5sns,61,1S0,45899.2707,45899.2727,-0.00198,3.27064,3.2689,TRUE
5sns,62,1S0,45900.3822,45900.3844,-0.00216,3.2709,3.2689,TRUE
5sns,63,1S0,45901.4398,45901.4407,-0.00087,3.26975,3.26891,TRUE
5sns,64,1S0,45902.4433,45902.4453,-0.00196,3.27091,3.26891,TRUE
5sns,65,1S0,45903.3987,45903.4014,-0.0027,3.2718,3.26891,TRUE
5sns,66,1S0,45904.3093,45904.3122,-0.00285,3.27211,3.26891,TRUE
5sns,67,1S0,45905.1769,45905.1804,-0.00357,3.27312,3.26891,TRUE
5sns,68,1S0,45906.0078,45906.0088,-0.00097,3.27011,3.26891,TRUE
5sns,69,1S0,45906.7987,45906.7996,-0.0009,3.27007,3.26891,TRUE
5sns,70,1S0,45907.556,45907.5551,0.00093,3.26766,3.26891,TRUE
5sns,75,1S0,45910.8718,45910.8708,0.00098,3.26727,3.26892,TRUE
5sns,80,1S0,45913.5602,45913.5598,0.00045,3.268,3.26892,TRUE
