Series,n,Term,E_exp,E_exp_unc,Isotope,Ref
5snd,9,1D2,43755.98,0.2,88,dai_1995
5snd,10,1D2,44241.86,0.2,88,dai_1995
5snd,11,1D2,44578.62,0.2,88,dai_1995
5snd,12,1D2,44829.47,0.2,88,dai_1995
5snd,13,1D2,45011.81,0.2,88,dai_1995
5snd,14,1D2,45153.03,0.2,88,dai_1995
5snd,15,1D2,45263.62,0.2,88,dai_1995
5snd,16,1D2,45362.17,0.2,88,dai_1995
5snd,17,1D2,45433.26,0.2,88,dai_1995
5snd,18,1D2,45492.74,0.2,88,dai_1995
5snd,19,1D2,45452.36,0.2,88,dai_1995
5snd,20,1D2,45584.23,0.2,88,dai_1995
5snd,21,1D2,45619.63,0.2,88,dai_1995
5snd,22,1D2,45650.27,0.2,88,dai_1995
5snd,23,1D2,45676.49,0.2,88,dai_1995
5snd,24,1D2,45699.31,0.2,88,dai_1995
5snd,25,1D2,45719.16,0.2,88,dai_1995
5snd,26,1D2,45736.83,0.2,88,dai_1995
5snd,27,1D2,45752.24,0.2,88,dai_1995
5snd,28,1D2,45765.77,0.2,88,dai_1995
5snd,29,1D2,45778.02,0.2,88,dai_1995
5snd,30,1D2,45788.92,0.2,88,dai_1995
5snd,31,1D2,45798.69,0.2,88,dai_1995
5snd,32,1D2,45807.43,0.2,88,dai_1995
5snd,33,1D2,45815.53,0.2,88,dai_1995
5snd,34,1D2,45822.51,0.2,88,dai_1995
5snd,35,1D2,45829.34,0.2,88,dai_1995
5snd,36,1D2,45835.36,0.2,88,dai_1995
5snd,37,1D2,45840.43,0.2,88,dai_1995
5snd,38,1D2,45845.73,0.2,88,dai_1995
5snd,39,1D2,45850.54,0.2,88,dai_1995
5snd,40,1D2,45854.81,0.2,88,dai_1995
5snd,41,1D2,45858.76,0.2,88,dai_1995
5snd,42,1D2,45862.41,0.2,88,dai_1995
5snd,43,1D2,45865.81,0.2,88,dai_1995
5snd,44,1D2,45868.99,0.2,88,dai_1995
5snd,45,1D2,45871.94,0.2,88,dai_1995
5snd,46,1D2,45874.61,0.2,88,dai_1995
5snd,47,1D2,45877.16,0.2,88,dai_1995
5snd,48,1D2,45879.56,0.2,88,dai_1995
5snd,49,1D2,45881.82,0.2,88,dai_1995
5snd,50,1D2,45833.86,0.2,88,dai_1995
5snd,9,3D2,43804.69,0.2,88,dai_1995
5snd,10,3D2,44286.91,0.2,88,dai_1995
5snd,11,3D2,44619.84,0.2,88,dai_1995
5snd,12,3D2,44859.31,0.2,88,dai_1995
5snd,13,3D2,45036.52,0.2,88,dai_1995
5snd,14,3D2,45171.43,0.2,88,dai_1995
5snd,15,3D2,45276.45,0.2,88,dai_1995
5snd,16,3D2,45350.57,0.2,88,dai_1995
5snd,17,3D2,45421.04,0.2,88,dai_1995
5snd,18,3D2,45479.92,0.2,88,dai_1995
5snd,19,3D2,45530.53,0.2,88,dai_1995
5snd,22,3D2,45641.69,0.2,88,dai_1995
5snd,23,3D2,45669.09,0.2,88,dai_1995
5snd,24,3D2,45692.84,0.2,88,dai_1995
5snd,25,3D2,45713.48,0.2,88,dai_1995
5snd,26,3D2,45731.76,0.2,88,dai_1995
5snd,27,3D2,45747.71,0.2,88,dai_1995
5snd,29,3D2,45774.56,0.2,88,dai_1995
5snd,30,3D2,45785.81,0.2,88,dai_1995
5snd,31,3D2,45795.94,0.2,88,dai_1995
5snd,32,3D2,45804.97,0.2,88,dai_1995
5snd,33,3D2,45813.16,0.2,88,dai_1995
5snd,34,3D2,45820.71,0.2,88,dai_1995
5snd,35,3D2,45827.53,0.2,88,dai_1995
5snd,36,3D2,45833.56,0.2,88,dai_1995
5snd,37,3D2,45839.34,0.2,88,dai_1995
