Series,n,Term,E_Expt,n*_Expt,E_Calc,n*_Calc,New
5snd,6,1D2,39733.11,4.207,39734.05,4.208,FALSE
5snd,7,1D2,41831.7,5.173,41831.03,5.173,FALSE
5snd,8,1D2,43020.9,6.139,43019.33,6.138,FALSE
5snd,9,1D2,43755.98,7.101,43755.49,7.1,TRUE
5snd,10,1D2,44241.86,8.057,44242.78,8.059,TRUE
5snd,11,1D2,44578.62,9.004,44582.15,9.016,TRUE
5snd,12,1D2,44829.47,9.976,44828.08,9.969,TRUE
5snd,13,1D2,45011.81,10.919,45011.72,10.919,TRUE
5snd,14,1D2,45153.03,11.868,45150.15,11.846,TRUE
5snd,15,1D2,45263.62,12.811,45230.05,12.501,TRUE
5snd,16,1D2,45362.17,13.875,45362.2,13.875,TRUE
5snd,17,1D2,45433.26,14.83,45422.5,14.834,TRUE
5snd,18,1D2,45492.74,15.802,45492.88,15.805,TRUE
5snd,19,1D2,45452.36,16.778,45542.54,16.782,TRUE
5snd,20,1D2,45584.23,17.758,45584.38,17.762,TRUE
5snd,21,1D2,45619.63,18.737,45619.92,18.746,TRUE
5snd,22,1D2,45650.27,19.729,45650.36,19.732,TRUE
5snd,23,1D2,45676.49,20.716,45676.62,20.721,TRUE
5snd,24,1D2,45699.31,21.707,45699.38,21.71,TRUE
5snd,25,1D2,45719.16,22.696,45719.28,22.702,TRUE
5snd,26,1D2,45736.83,23.7,45736.74,23.694,TRUE
5snd,27,1D2,45752.24,24.694,45752.15,24.688,TRUE
5snd,28,1D2,45765.77,25.678,45765.82,25.682,TRUE
5snd,29,1D2,45778.02,26.679,45778,26.677,TRUE
5snd,30,1D2,45788.92,27.675,45788.89,27.672,TRUE
5snd,31,1D2,45798.69,28.669,45798.67,28.667,TRUE
5snd,32,1D2,45807.43,29.657,45807.49,29.664,TRUE
5snd,33,1D2,45815.53,30.669,45815.47,30.661,TRUE
5snd,34,1D2,45822.51,31.629,45822.71,31.658,TRUE
5snd,35,1D2,45829.34,32.663,45829.29,32.665,TRUE
5snd,36,1D2,45835.36,33.663,45835.3,33.652,TRUE
5snd,37,1D2,45840.43,34.58,45840.8,34.65,TRUE
5snd,38,1D2,45845.73,35.624,45845.85,35.649,TRUE
5snd,39,1D2,45850.54,36.658,45950.49,36.647,TRUE
5snd,40,1D2,45854.81,37.656,45854.76,37.644,TRUE
5snd,41,1D2,45858.76,38.655,45858.71,38.642,TRUE
5snd,42,1D2,45862.41,39.653,45862.37,39.642,TRUE
5snd,43,1D2,45865.81,40.656,45865.76,40.641,TRUE
5snd,44,1D2,45868.99,41.666,45868.92,41.64,TRUE
5snd,45,1D2,45871.94,42.674,45871.84,42.638,TRUE
5snd,46,1D2,45874.61,43.652,45874.57,43.637,TRUE
5snd,47,1D2,45877.16,44.652,45877.12,44.635,TRUE
5snd,48,1D2,45879.56,45.658,45879.5,45.632,TRUE
5snd,49,1D2,45881.82,46.671,45881.74,46.634,TRUE
5snd,50,1D2,45833.86,47.646,45883.83,47.631,TRUE
5snd,51,1D2,45885.8,48.631,45885.8,48.631,FALSE
5snd,52,1D2,45887.61,49.609,45887.6,49.603,FALSE
5snd,53,1D2,45889.38,50.624,45889.34,50.6,FALSE
5snd,54,1D2,45891.03,51.628,45890.99,51.603,FALSE
5snd,55,1D2,45892.59,52.635,45892.54,52.602,FALSE
5snd,56,1D2,45894.04,53.626,45894,53.597,FALSE
5snd,57,1D2,45895.39,54.6,45895.39,54.6,FALSE
5snd,58,1D2,45896.74,55.63,45896.7,55.598,FALSE
5snd,59,1D2,45898.01,56.653,45897.95,56.604,FALSE
5snd,60,1D2,45899.2,57.666,45899.12,57.596,FALSE
5snd,61,1D2,45900.27,58.624,45900.24,58.597,FALSE
5snd,62,1D2,45901.33,59.622,45901.3,59.593,FALSE
5snd,63,1D2,45902.34,60.622,45902.32,60.602,FALSE
5snd,64,1D2,45903.3,61.621,45903.28,61.599,FALSE
5snd,65,1D2,45904.22,62.626,45904.2,62.603,FALSE
5snd,66,1D2,45905.09,63.623,45905.07,63.599,FALSE
5snd,67,1D2,45905.92,64.619,45905.9,64.595,FALSE
5snd,68,1D2,45906.72,65.626,45906.7,65.6,FALSE
5snd,69,1D2,45907.48,66.627,45907.46,66.6,FALSE
5snd,70,1D2,45908.19,67.605,45908.18,67.591,FALSE
5snd,71,1D2,,,45908.88,68.598,
5snd,72,1D2,,,45909.54,69.59,
5snd,73,1D2,,,45910.18,70.594,
5snd,74,1D2,45910.81,71.626,45910.79,71.592,FALSE
5snd,75,1D2,45911.39,72.617,45911.38,72.6,FALSE
5snd,76,1D2,,,45911.94,73.596,
5snd,77,1D2,,,45912.48,74.597,
5snd,78,1D2,,,45913,75.601,
5snd,79,1D2,45913.5,76.605,45913.49,76.584,FALSE
5snd,80,1D2,45913.98,77.607,45913.97,77.586,FALSE
5snd,81,1D2,,,45914.43,78.584,
5snd,82,1D2,,,45914.88,79.598,
5snd,83,1D2,,,45915.3,80.581,
5snd,84,1D2,45915.72,81.601,45915.71,81.577,FALSE
5snd,85,1D2,,,45916.11,82.584,
