Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Ref
5sns,10,1S0,5s10s,43512.41,0.2,88,daz_1995
5sns,11,1S0,5s11s,44097.03,0.2,88,daz_1995
5sns,12,1S0,5s12s,44492.76,0.2,88,daz_1995
5sns,13,1S0,5s13s,44773.55,0.2,88,daz_1995
5sns,14,1S0,5s14s,44979.64,0.2,88,daz_1995
5sns,15,1S0,5s15s,45134.75,0.2,88,daz_1995
5sns,16,1S0,5s16s,45255.09,0.2,88,daz_1995
5sns,17,1S0,5s17s,45350.11,0.2,88,daz_1995
5sns,18,1S0,5s18s,45426.43,0.2,88,daz_1995
5sns,19,1S0,5s19s,45488.65,0.2,88,daz_1995
5sns,20,1S0,5s20s,45540.36,0.2,88,daz_1995
5sns,21,1S0,5s21s,45583.17,0.2,88,daz_1995
5sns,22,1S0,5s22s,45619.44,0.2,88,daz_1995
5sns,23,1S0,5s23s,45650.34,0.2,88,daz_1995
5sns,24,1S0,5s24s,45676.87,0.2,88,daz_1995
5sns,26,1S0,5s26s,45719.82,0.2,88,daz_1995
5sns,28,1S0,5s28s,45752.78,0.2,88,daz_1995
5sns,30,1S0,5s30s,45778.63,0.2,88,daz_1995
5sns,32,1S0,5s32s,45799.26,0.2,88,daz_1995
5sns,34,1S0,5s34s,45816.0,0.2,88,daz_1995
5sns,36,1S0,5s36s,45829.77,0.2,88,daz_1995
5sns,37,1S0,5s37s,45835.75,0.2,88,daz_1995
5sns,38,1S0,5s38s,45841.23,0.2,88,daz_1995
5sns,39,1S0,5s39s,45846.24,0.2,88,daz_1995
5sns,40,1S0,5s40s,45850.86,0.2,88,daz_1995
5sns,41,1S0,5s41s,45855.11,0.2,88,daz_1995
5sns,42,1S0,5s42s,45859.04,0.2,88,daz_1995
5sns,43,1S0,5s43s,45862.68,0.2,88,daz_1995
5sns,44,1S0,5s44s,45866.05,0.2,88,daz_1995
5sns,45,1S0,5s45s,45869.18,0.2,88,daz_1995
5sns,46,1S0,5s46s,45872.1,0.2,88,daz_1995
5sns,47,1S0,5s47s,45874.81,0.2,88,daz_1995
5sns,48,1S0,5s48s,45877.35,0.2,88,daz_1995
5sns,49,1S0,5s49s,45879.72,0.2,88,daz_1995
5sns,50,1S0,5s50s,45881.94,0.2,88,daz_1995
5sns,51,1S0,5s51s,45884.03,0.2,88,daz_1995
5sns,52,1S0,5s52s,45885.98,0.2,88,daz_1995
5sns,53,1S0,5s53s,45887.82,0.2,88,daz_1995
5sns,54,1S0,5s54s,45889.56,0.2,88,daz_1995
5sns,55,1S0,5s55s,45891.19,0.2,88,daz_1995
5sns,56,1S0,5s56s,45892.73,0.2,88,daz_1995
5sns,57,1S0,5s57s,45894.18,0.2,88,daz_1995
5sns,58,1S0,5s58s,45895.56,0.2,88,daz_1995
5sns,59,1S0,5s59s,45896.86,0.2,88,daz_1995
5sns,60,1S0,5s60s,45898.1,0.2,88,daz_1995
5sns,61,1S0,5s61s,45899.27,0.2,88,daz_1995
5sns,62,1S0,5s62s,45900.38,0.2,88,daz_1995
5sns,63,1S0,5s63s,45901.43,0.2,88,daz_1995
5sns,64,1S0,5s64s,45902.44,0.2,88,daz_1995
5sns,65,1S0,5s65s,45903.4,0.2,88,daz_1995
5sns,66,1S0,5s66s,45904.31,0.2,88,daz_1995
5sns,67,1S0,5s67s,45905.17,0.2,88,daz_1995
5sns,68,1S0,5s68s,45906.01,0.2,88,daz_1995
5sns,69,1S0,5s69s,45906.8,0.2,88,daz_1995
5sns,70,1S0,5s70s,45907.56,0.2,88,daz_1995
5sns,75,1S0,5s75s,45910.87,0.2,88,daz_1995
5sns,80,1S0,5s80s,45913.56,0.2,88,daz_1995
