Series,n,Term,Label,Obs,Calc,New
5sns,6,1S0,5s6s,30591.8,,FALSE
5pnp,5,1S0,5p5p,37160.28,37161.24,FALSE
5sns,7,1S0,5s7s,38444.05,38445.9,FALSE
5sns,8,1S0,5s8s,41052.5,41051.21,FALSE
5sns,9,1S0,5s9s,42596,42597.84,FALSE
5sns,10,1S0,5s10s,43512.41,43513.12,TRUE
5sns,11,1S0,5s11s,44097.03,44096.23,TRUE
5sns,12,1S0,5s12s,44492.76,44492.52,TRUE
5sns,13,1S0,5s13s,44773.55,44773.05,TRUE
5sns,14,1S0,5s14s,44979.64,44978.93,TRUE
5sns,15,1S0,5s15s,45134.75,45134.9,TRUE
5sns,16,1S0,5s16s,45255.09,45254.78,TRUE
5sns,17,1S0,5s17s,45350.11,45349.85,TRUE
5sns,18,1S0,5s18s,45426.43,45426.23,TRUE
5sns,19,1S0,5s19s,45488.65,45488.52,TRUE
5sns,20,1S0,5s20s,45540.36,45539.97,TRUE
5sns,21,1S0,5s21s,45583.17,45582.97,TRUE
5sns,22,1S0,5s22s,45619.44,45619.27,TRUE
5sns,23,1S0,5s23s,45650.34,45650.19,TRUE
5sns,24,1S0,5s24s,45676.87,45676.75,TRUE
5sns,25,1S0,5s25s,,45699.72,TRUE
5sns,26,1S0,5s26s,45719.82,45719.73,TRUE
5sns,27,1S0,5s27s,,45737.26,TRUE
5sns,28,1S0,5s28s,45752.78,45752.71,TRUE
5sns,29,1S0,5s29s,,45766.39,TRUE
5sns,30,1S0,5s30s,45778.63,45778.56,TRUE
5sns,31,1S0,5s31s,,45789.45,TRUE
5sns,32,1S0,5s32s,45799.26,45799.21,TRUE
5sns,33,1S0,5s33s,,45808.01,TRUE
5sns,34,1S0,5s34s,45816,45815.96,TRUE
5sns,35,1S0,5s35s,,45823.17,TRUE
5sns,36,1S0,5s36s,45829.77,45829.73,TRUE
5sns,37,1S0,5s37s,45835.75,45835.72,TRUE
5sns,38,1S0,5s38s,45841.23,45841.2,TRUE
5sns,39,1S0,5s39s,45846.24,45846.22,TRUE
5sns,40,1S0,5s40s,45850.86,45850.84,TRUE
5sns,41,1S0,5s41s,45855.11,45855.09,TRUE
5sns,42,1S0,5s42s,45859.04,45859.02,TRUE
5sns,43,1S0,5s43s,45862.68,45862.66,TRUE
5sns,44,1S0,5s44s,45866.05,45866.04,TRUE
5sns,45,1S0,5s45s,45869.18,45869.17,TRUE
5sns,46,1S0,5s46s,45872.1,45872.09,TRUE
5sns,47,1S0,5s47s,45874.81,45874.8,TRUE
5sns,48,1S0,5s48s,45877.35,45877.34,TRUE
5sns,49,1S0,5s49s,45879.72,45879.71,TRUE
5sns,50,1S0,5s50s,45881.94,45881.94,TRUE
5sns,51,1S0,5s51s,45884.03,45884.03,TRUE
5sns,52,1S0,5s52s,45885.98,45885.99,TRUE
5sns,53,1S0,5s53s,45887.82,45887.83,TRUE
5sns,54,1S0,5s54s,45889.56,45889.56,TRUE
5sns,55,1S0,5s55s,45891.19,45891.19,TRUE
5sns,56,1S0,5s56s,45892.73,45892.73,TRUE
5sns,57,1S0,5s57s,45894.18,45894.19,TRUE
5sns,58,1S0,5s58s,45895.56,45895.57,TRUE
5sns,59,1S0,5s59s,45896.86,45896.87,TRUE
5sns,60,1S0,5s60s,45898.1,45898.1,TRUE
5sns,61,1S0,5s61s,45899.27,45899.27,TRUE
5sns,62,1S0,5s62s,45900.38,45900.39,TRUE
5sns,63,1S0,5s63s,45901.43,45901.44,TRUE
5sns,64,1S0,5s64s,45902.44,45902.45,TRUE
5sns,65,1S0,5s65s,45903.4,45903.4,TRUE
5sns,66,1S0,5s66s,45904.31,45904.31,TRUE
5sns,67,1S0,5s67s,45905.17,45905.18,TRUE
5sns,68,1S0,5s68s,45906.01,45906.01,TRUE
5sns,69,1S0,5s69s,45906.8,45906.8,TRUE
5sns,70,1S0,5s70s,45907.56,45907.55,TRUE
5sns,71,1S0,5s71s,,45908.28,TRUE
5sns,72,1S0,5s72s,,45908.97,TRUE
5sns,73,1S0,5s73s,,45909.63,TRUE
5sns,74,1S0,5s74s,,45910.27,TRUE
5sns,75,1S0,5s75s,45910.87,45910.87,TRUE
5sns,76,1S0,5s76s,,45911.45,TRUE
5sns,77,1S0,5s77s,,45912.01,TRUE
5sns,78,1S0,5s78s,,45912.55,TRUE
5sns,79,1S0,5s79s,,45913.07,TRUE
5sns,80,1S0,5s80s,45913.56,45913.56,TRUE
