Series,n,Term,Label,Obs,Obs_unc,Calc,Error,nu_s_Obs,nu_s_Calc,New,I_s,dI_s,,
5sns,6,1S0,5s6s,30591.80,,,,2.675,,FALSE,45932.19,0.03,,
5pnp,5,1S0,5p5p,37160.28,,37160.32,-0.04,3.537,3.537,FALSE,45932.19,0.03,,
5sns,7,1S0,5s7s,38444.05,,38443.97,0.09,3.828,3.828,FALSE,45932.19,0.03,,
5sns,8,1S0,5s8s,41052.50,,41053.03,-0.53,4.742,4.742,FALSE,45932.19,0.03,,
5sns,9,1S0,5s9s,42596.00,,42596.27,-0.27,5.735,5.735,FALSE,45932.19,0.03,,
5sns,10,1S0,5s10s,43512.00,0.18,43511.87,0.14,6.734,6.733,TRUE,45932.19,0.03,,
5sns,11,1S0,5s11s,44096.84,0.17,44096.94,-0.10,7.732,7.733,TRUE,45932.19,0.03,,
5sns,12,1S0,5s12s,44492.83,0.18,44493.06,-0.22,8.732,8.732,TRUE,45932.19,0.03,,
4dnd,4,3P0,4d4d,44525.83,0.11,,,8.833,,TRUE,45932.19,0.03,,
5sns,13,1S0,5s13s,44773.36,0.11,44773.55,-0.19,9.731,9.732,TRUE,45932.19,0.03,,
5sns,14,1S0,5s14s,44979.25,0.16,44979.39,-0.14,10.731,10.732,TRUE,45932.19,0.03,,
5sns,15,1S0,5s15s,45134.88,0.11,45134.88,0.00,11.732,11.732,TRUE,45932.19,0.03,,
5sns,16,1S0,5s16s,45255.31,0.10,45255.20,0.11,12.733,12.732,TRUE,45932.19,0.03,,
5sns,17,1S0,5s17s,45350.35,0.07,45350.21,0.15,13.733,13.732,TRUE,45932.19,0.03,,
5sns,18,1S0,5s18s,45426.52,0.07,45426.53,-0.01,14.731,14.732,TRUE,45932.19,0.03,,
5sns,19,1S0,5s19s,45488.74,0.07,45488.77,-0.04,15.731,15.732,TRUE,45932.19,0.03,,
5sns,20,1S0,5s20s,45540.10,0.07,45540.19,-0.09,16.730,16.732,TRUE,45932.19,0.03,,
5sns,21,1S0,5s21s,45583.18,0.12,45583.16,0.02,17.732,17.732,TRUE,45932.19,0.03,,
5sns,22,1S0,5s22s,,,45619.43,,,18.732,TRUE,45932.19,0.03,,
5sns,23,1S0,5s23s,,,45650.33,,,19.731,TRUE,45932.19,0.03,,
5sns,24,1S0,5s24s,,,45676.86,,,20.731,TRUE,45932.19,0.03,,
5sns,25,1S0,5s25s,,,45699.82,,,21.731,TRUE,45932.19,0.03,,
5sns,26,1S0,5s26s,,,45719.82,,,22.731,TRUE,45932.19,0.03,,
5sns,27,1S0,5s27s,,,45737.34,,,23.731,TRUE,45932.19,0.03,,
5sns,28,1S0,5s28s,,,45752.78,,,24.731,TRUE,45932.19,0.03,,
5sns,29,1S0,5s29s,,,45766.45,,,25.731,TRUE,45932.19,0.03,,
5sns,30,1S0,5s30s,,,45778.62,,,26.731,TRUE,45932.19,0.03,,
5sns,31,1S0,5s31s,,,45789.49,,,27.731,TRUE,45932.19,0.03,,
5sns,32,1S0,5s32s,,,45799.25,,,28.731,TRUE,45932.19,0.03,,
5sns,33,1S0,5s33s,,,45808.05,,,29.731,TRUE,45932.19,0.03,,
5sns,34,1S0,5s34s,,,45815.99,,,30.731,TRUE,45932.19,0.03,,
5sns,35,1S0,5s35s,,,45823.20,,,31.731,TRUE,45932.19,0.03,,
5sns,36,1S0,5s36s,,,45829.76,,,32.731,TRUE,45932.19,0.03,,
5sns,37,1S0,5s37s,,,45835.74,,,33.731,TRUE,45932.19,0.03,,
5sns,38,1S0,5s38s,,,45841.22,,,34.731,TRUE,45932.19,0.03,,
5sns,39,1S0,5s39s,,,45846.24,,,35.731,TRUE,45932.19,0.03,,
5sns,40,1S0,5s40s,,,45850.85,,,36.731,TRUE,45932.19,0.03,,
