Series,n,Term,Assignment,Energy_level,New
5sns,10,1S0,5s10s,43511.1,TRUE
5sns,11,1S0,5s11s,44096.4,TRUE
5sns,12,1S0,5s12s,44492.3,TRUE
5sns,13,1S0,5s13s,44773.4,TRUE
5sns,14,1S0,5s14s,44978.5,TRUE
5sns,15,1S0,5s15s,45134.5,TRUE
5sns,16,1S0,5s16s,45255,TRUE
5sns,17,1S0,5s17s,,TRUE
5sns,18,1S0,5s18s,45425.5,TRUE
5sns,19,1S0,5s19s,45489.7,TRUE
5snd,9,1D2,5s9d,43754.6,TRUE
5snd,10,1D2,5s10d,,TRUE
5snd,11,1D2,5s11d,44578.4,TRUE
5snd,12,1D2,5s12d,44829.5,TRUE
5snd,13,1D2,5s13d,45011,TRUE
5snd,14,1D2,5s14d,45152.7,TRUE
5snd,15,1D2,5s15d,45263.3,TRUE
5snd,16,1D2,5s16d,45361.6,TRUE
5snd,17,1D2,5s17d,45433,TRUE
5snd,18,1D2,5s18d,45492.5,TRUE
5snd,19,1D2,5s19d,45541.5,TRUE
5snd,20,1D2,5s20d,45583.6,TRUE
5snd,21,1D2,5s21d,45619.5,TRUE
5snd,22,1D2,5s22d,45649.7,TRUE
5snd,23,1D2,5s23d,45675.9,TRUE
5snd,24,1D2,5s24d,45699.2,TRUE
5snd,25,1D2,5s25d,45718.5,TRUE
5snd,26,1D2,5s26d,45736.6,TRUE
5snd,27,1D2,5s27d,45751.6,TRUE
5snd,28,1D2,5s28d,45764.7,TRUE
5snd,29,1D2,5s29d,45777.1,TRUE
5snd,30,1D2,5s30d,45788.7,TRUE
5snd,31,1D2,5s31d,45797.7,TRUE
5snd,32,1D2,5s32d,45807,TRUE
5snd,33,1D2,5s33d,45815.4,TRUE
5snd,34,1D2,5s34d,45822.6,TRUE
5snd,35,1D2,5s35d,45829.9,TRUE
4dns,6,1D2,4d6s,45350.1,TRUE
4dns,6,3D2,4d6s,45419.3,TRUE
