Series,n,Term,lambda_vac,nu,n*,New
5snp,8,1P1,2355.029,42462.32,5.624,TRUE
5snp,9,1P1,2307.974,43328.04,6.492,TRUE
5snp,10,1P1,2276.007,43936.6,7.417,TRUE
5snp,11,1P1,2253.954,44366.48,8.372,TRUE
5snp,12,1P1,2238.35,44675.77,9.346,TRUE
5snp,13,1P1,2226.996,44903.52,10.33,TRUE
5snp,14,1P1,2218.507,45075.36,11.319,TRUE
5snp,15,1P1,2211.999,45207.98,12.311,TRUE
5snp,16,1P1,2206.927,45311.87,13.302,TRUE
5snp,17,1P1,2202.863,45395.47,14.302,TRUE
5snp,18,1P1,2199.579,45463.25,15.301,TRUE
5snp,19,1P1,2196.9,45518.69,16.294,TRUE
5snp,20,1P1,2194.663,45565.08,17.292,TRUE
5snp,21,1P1,2192.788,45604.04,18.29,TRUE
5snp,22,1P1,2191.196,45637.18,19.293,TRUE
5snp,23,1P1,2189.841,45665.42,20.288,TRUE
5snp,24,1P1,2188.673,45689.79,21.286,TRUE
5snp,25,1P1,2187.652,45711.11,22.288,TRUE
5snp,26,1P1,2186.776,45729.42,23.273,TRUE
5snp,27,1P1,2185.982,45746.03,24.281,TRUE
5snp,28,1P1,2185.304,45760.22,25.273,TRUE
5snp,29,1P1,2184.681,45773.27,26.296,TRUE
5snp,30,1P1,2184.138,45784.65,27.286,TRUE
5snp,31,1P1,2183.644,45795.01,28.3,TRUE
5snp,32,1P1,2183.212,45804.07,29.291,TRUE
5snp,33,1P1,2182.81,45812.51,30.304,TRUE
