Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Ref
5sns,19,3S1,5s19s,45482.89,0.01,88,khk_1993
5sns,20,3S1,5s20s,45535.32,0.01,88,khk_1993
5sns,21,3S1,5s21s,45579.08,0.01,88,khk_1993
5sns,22,3S1,5s22s,45615.99,0.01,88,khk_1993
5sns,23,3S1,5s23s,45647.4,0.01,88,khk_1993
5sns,35,3S1,5s35s,45822.49,0.04,88,khk_1993
5snd,19,3D3,5s19d,45542.3,0.04,88,khk_1993
5snd,20,3D3,5s20d,45582.36,0.04,88,khk_1993
5snd,23,3D3,5s23d,45673.05,0.04,88,khk_1993
5snd,24,3D3,5s24d,45695.9,0.04,88,khk_1993
5snd,25,3D3,5s25d,45715.93,0.04,88,khk_1993
5snd,26,3D3,5s26d,45733.65,0.04,88,khk_1993
5snd,27,3D3,5s27d,45749.33,0.04,88,khk_1993
5snd,28,3D3,5s28d,45763.23,0.04,88,khk_1993
