Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Ref
5sns,12,1S0,5s12s,44492.69,0.18,88,phc_2007
5sns,13,1S0,5s13s,44773.48,0.18,88,phc_2007
5sns,14,1S0,5s14s,44979.09,0.18,88,phc_2007
5sns,15,1S0,5s15s,45135.01,0.18,88,phc_2007
5sns,16,1S0,5s16s,45255.02,0.18,88,phc_2007
5sns,17,1S0,5s17s,45350.45,0.18,88,phc_2007
5sns,18,1S0,5s18s,45426.67,0.18,88,phc_2007
5sns,19,1S0,5s19s,45488.66,0.18,88,phc_2007
5sns,26,1S0,5s26s,45719.92,0.18,88,phc_2007
5sns,27,1S0,5s27s,45737.18,0.18,88,phc_2007
5sns,28,1S0,5s28s,45752.67,0.18,88,phc_2007
5sns,29,1S0,5s29s,45766.49,0.18,88,phc_2007
5sns,30,1S0,5s30s,45778.43,0.18,88,phc_2007
5sns,31,1S0,5s31s,45789.43,0.18,88,phc_2007
5sns,32,1S0,5s32s,45799.08,0.18,88,phc_2007
5sns,33,1S0,5s33s,45808.1,0.18,88,phc_2007
5sns,34,1S0,5s34s,45816.08,0.18,88,phc_2007
5sns,35,1S0,5s35s,45823.21,0.18,88,phc_2007
5sns,36,1S0,5s36s,45829.62,0.18,88,phc_2007
5sns,37,1S0,5s37s,45835.4,0.18,88,phc_2007
5sns,38,1S0,5s38s,45841.17,0.18,88,phc_2007
5sns,39,1S0,5s39s,45845.8,0.18,88,phc_2007
5sns,40,1S0,5s40s,45850.21,0.18,88,phc_2007
5sns,41,1S0,5s41s,45854.63,0.18,88,phc_2007
5sns,42,1S0,5s42s,45858.73,0.18,88,phc_2007
5sns,43,1S0,5s43s,45862.2,0.18,88,phc_2007
5sns,44,1S0,5s44s,45865.67,0.18,88,phc_2007
5sns,45,1S0,5s45s,45868.72,0.18,88,phc_2007
5sns,46,1S0,5s46s,45871.77,0.18,88,phc_2007
5snp,32,1P1,5s32p,45804.11,0.18,88,phc_2007
5snp,33,1P1,5s33p,45812.4,0.18,88,phc_2007
5snp,34,1P1,5s34p,45819.95,0.18,88,phc_2007
5snp,35,1P1,5s35p,45826.78,0.18,88,phc_2007
5snp,36,1P1,5s36p,45832.87,0.18,88,phc_2007
5snp,37,1P1,5s37p,45838.34,0.18,88,phc_2007
5snp,38,1P1,5s38p,45843.59,0.18,88,phc_2007
5snp,39,1P1,5s39p,45848.32,0.18,88,phc_2007
5snp,40,1P1,5s40p,45852.84,0.18,88,phc_2007
5snp,41,1P1,5s41p,45856.94,0.18,88,phc_2007
5snp,42,1P1,5s42p,45860.83,0.18,88,phc_2007
5snp,43,1P1,5s43p,45864.09,0.18,88,phc_2007
5snp,44,1P1,5s44p,45867.56,0.18,88,phc_2007
5snp,45,1P1,5s45p,45870.51,0.18,88,phc_2007
5snp,46,1P1,5s46p,45873.35,0.18,88,phc_2007
5snf,29,1F3,5s29f,45801.18,0.18,88,phc_2007
5snf,30,1F3,5s30f,45809.57,0.18,88,phc_2007
5snf,31,1F3,5s31f,45817.55,0.18,88,phc_2007
5snf,32,1F3,5s32f,45824.26,0.18,88,phc_2007
5snf,33,1F3,5s33f,45830.77,0.18,88,phc_2007
5snf,36,1F3,5s36f,45846.95,0.18,88,phc_2007
5snf,37,1F3,5s37f,45851.58,0.18,88,phc_2007
5snf,38,1F3,5s38f,45855.78,0.18,88,phc_2007
5snf,39,1F3,5s39f,45859.78,0.18,88,phc_2007
5snf,40,1F3,5s40f,45863.14,0.18,88,phc_2007
5snf,41,1F3,5s41f,45866.82,0.18,88,phc_2007
5snf,42,1F3,5s42f,45869.98,0.18,88,phc_2007
5snf,43,1F3,5s43f,45872.61,0.18,88,phc_2007
5snf,44,1F3,5s44f,45875.35,0.18,88,phc_2007
4dnd,4,3P0,4d4d,44526.18,0.18,88,phc_2007
4dnd,4,3P2,4d4d,44729.42,0.18,88,phc_2007
