Series,n,Term,Int,lambda_air,lambda_air_unc,sigma_vac,E,Previous,n*,New
5snd,4,1D2,,,,,20149.7,49.7,2.063071,
5snd,5,1D2,,767.3077,,13028.995,34727.456,27.483,3.129514,FALSE
5snd,6,1D2,,554.335,,18034.608,39733.069,33.114,4.207404,FALSE
5snd,7,1D2,,496.5584,0.002,20133,41831.46,31.7,5.1731,TRUE
5snd,8,1D2,,468.8546,0.002,21322.61,43021.07,20.9,6.13979,TRUE
5snd,9,1D2,,453.2375,0.002,22057.3,43755.76,55.88,7.1009,TRUE
5snd,10,1D2,,,,,,,8.05717,
5snd,11,1D2,,436.9365,0.002,22880.19,44578.65,78.58,9.00443,TRUE
5snd,12,1D2,,432.1953,0.002,23131.18,44829.64,29.4,9.97692,TRUE
5snd,13,1D2,,428.8145,0.002,23313.55,45012.01,11.77,10.921,TRUE
5snd,14,1D2,,426.232,0.002,23454.8,45153.26,53.1,11.8701,TRUE
5snd,15,1D2,,424.2399,0.002,23564.93,45263.39,63.62,12.8103,TRUE
5snd,16,1D2,,422.4698,0.002,23663.67,45362.13,62.03,13.8757,TRUE
5snd,17,1D2,,421.2036,0.002,23734.8,45433.26,33.14,14.832,TRUE
5snd,18,1D2,,420.1534,0.002,23794.13,45492.59,92.48,15.8014,TRUE
5snd,19,1D2,,419.2777,0.002,23843.82,45542.28,42.12,16.7784,TRUE
5snd,20,1D2,,418.5424,0.002,23885.71,45584.17,84.17,17.7597,TRUE
5snd,21,1D2,,417.9197,0.002,23921.3,45619.76,19.6,18.7443,TRUE
5snd,22,1D2,,417.388,0.002,23951.77,45650.23,50.26,19.7315,TRUE
5snd,23,1D2,,416.9308,0.002,23978.04,45676.5,76.51,20.7207,TRUE
5snd,24,1D2,,416.5347,0.002,24000.84,45699.3,99.25,21.7117,TRUE
5snd,25,1D2,,416.1895,0.002,24020.74,45719.2,19.25,22.104,TRUE
5snd,26,1D2,,415.8871,0.002,24038.21,45736.67,36.8,23.697,TRUE
5snd,27,1D2,,415.6208,0.002,24053.61,45752.07,52.22,24.69,TRUE
5snd,28,1D2,,415.3845,0.002,24067.29,45765.75,65.79,25.685,TRUE
5snd,29,1D2,,415.1741,0.002,24079.49,45777.95,77.98,26.682,TRUE
5snd,30,1D2,,414.9865,0.002,24090.38,45788.84,88.9,27.678,TRUE
5snd,31,1D2,,414.8182,0.002,24100.15,45798.61,98.65,28.673,TRUE
5snd,32,1D2,,414.6663,0.002,24108.98,45807.44,7.46,29.671,TRUE
5snd,33,1D2,,414.5291,0.002,24116.96,45815.42,15.6,30.669,TRUE
5snd,34,1D2,,414.4048,0.002,24124.19,45822.65,22.71,31.666,TRUE
5snd,35,1D2,,414.2919,0.002,24130.77,45829.23,29.32,32.663,TRUE
5snd,36,1D2,,414.1894,0.002,24136.74,45835.2,35.3,33.654,TRUE
5snd,37,1D2,,414.0943,0.002,24142.28,45840.74,40.85,34.659,TRUE
5snd,38,1D2,,414.008,0.002,24147.31,45845.77,45.91,35.655,TRUE
5snd,39,1D2,,413.9284,0.002,24151.96,45850.42,50.53,36.656,TRUE
5snd,40,1D2,,413.855,0.002,24156.24,45854.7,54.83,37.656,TRUE
5snd,41,1D2,,413.7862,0.002,24160.26,45858.72,58.75,38.674,TRUE
5snd,42,1D2,,413.7242,0.002,24163.88,45862.34,62.44,39.665,TRUE
5snd,43,1D2,,413.6665,0.002,24167.25,45865.71,65.84,40.659,TRUE
5snd,44,1D2,,413.6116,0.002,24170.45,45868.91,69.01,41.676,TRUE
5snd,45,1D2,,413.5621,0.002,24173.35,45871.81,71.91,42.667,TRUE
5snd,46,1D2,,413.5166,0.002,24176.01,45874.47,74.61,43.64,TRUE
5snd,47,1D2,,413.4705,0.002,24178.7,45877.16,77.1,44.696,TRUE
5snd,48,1D2,,413.4322,0.002,24180.94,45879.4,79.51,45.636,TRUE
5snd,49,1D2,,413.3926,0.002,24183.26,45881.72,81.76,46.676,TRUE
5snd,50,1D2,,413.3585,0.002,24185.25,45883.71,83.83,47.626,TRUE
5snd,51,1D2,,413.3223,0.002,24187.37,45885.83,85.75,48.7,TRUE
5snd,52,1D2,,413.2905,0.002,24189.23,45887.69,87.61,49.71,TRUE
