Series,n,Term,Assignment,S,L,J,E,New
5sns,5,1S0,5 1S0,,,,0,
5snp,5,3P0,5 3P0,,,,14317.52,TRUE
5snp,5,3P1,5 3P1,,,,14504.351,TRUE
5snp,5,3P2,5 3P2,,,,14898.563,TRUE
,,3D1,4 3D1,,,,18159.056,TRUE
,,3D2,4 3D2,,,,18218.795,TRUE
,,3D3,4 3D3,,,,18319.267,TRUE
,,1D2,4 1D2,,,,20149.7,TRUE
,,1P1,5 1P1,,,,21698.482,TRUE
5sns,6,3S1,6 3S1,,,,29038.795,TRUE
,,3F2,dp 3F2,,,,33266.872,TRUE
,,3F3,dp 3F3,,,,33589.724,TRUE
,,1D2,dp 1D2,,,,33826.92,TRUE
5snp,6,3P0,6 3P0,,,,33826.927,TRUE
5snp,6,3P1,6 3P1,,,,33868.333,TRUE
,,3F4,dp 3F4,,,,33919.33,TRUE
5snp,6,3P2,6 3P2,,,,33973.081,TRUE
5snp,6,1P1,6 1P1,,,,34098.44,TRUE
,,1D2,5 1D2,,,,34727.483,TRUE
,,3D1,5 3D1,,,,35006.943,TRUE
,,3D2,5 3D2,,,,35022.015,TRUE
,,3D3,5 3D3,,,,35045.055,TRUE
,,3P1,pp 3P1,,,,35400.138,TRUE
,,3P2,pp 3P2,,,,35674.668,TRUE
,,,5 2S1/2,,0,1/2,,
